iter	Passed	Remaining
0	171	171265
1	179	89458
2	187	62370
3	195	48619
4	203	40413
5	210	34892
6	219	31096
7	226	28113
8	234	25772
9	241	23887
10	248	22383
11	256	21110
12	264	20116
13	272	19177
14	281	18487
15	289	17802
16	297	17180
17	304	16608
18	312	16129
19	319	15660
20	327	15264
21	334	14857
22	342	14550
23	349	14225
24	359	14007
25	366	13711
26	374	13484
27	381	13239
28	388	13023
29	400	12942
30	410	12837
31	418	12645
32	426	12508
33	435	12364
34	443	12238
35	451	12100
36	460	11974
37	468	11859
38	476	11748
39	485	11641
40	493	11536
41	500	11425
42	508	11326
43	517	11239
44	526	11170
45	536	11122
46	544	11036
47	553	10976
48	560	10887
49	569	10824
50	577	10747
51	586	10698
52	594	10617
53	602	10561
54	610	10494
55	619	10448
56	627	10379
57	636	10338
58	643	10267
59	652	10219
60	660	10164
61	668	10111
62	675	10050
63	683	10002
64	691	9944
65	700	9908
66	707	9848
67	715	9804
68	723	9757
69	731	9719
70	739	9674
71	748	9647
72	756	9605
73	765	9574
74	772	9525
75	780	9492
76	790	9475
77	799	9446
78	806	9403
79	815	9382
80	823	9338
81	831	9313
82	839	9272
83	848	9249
84	855	9209
85	864	9186
86	872	9151
87	880	9121
88	887	9083
89	896	9062
90	904	9033
91	914	9021
92	923	9007
93	931	8981
94	939	8951
95	948	8927
96	955	8894
97	964	8873
98	971	8843
99	979	8815
100	987	8791
101	995	8767
102	1003	8740
103	1012	8718
104	1020	8696
105	1028	8672
106	1037	8658
107	1045	8632
108	1053	8612
109	1061	8588
110	1069	8568
111	1077	8542
112	1086	8526
113	1094	8502
114	1101	8476
115	1109	8453
116	1117	8435
117	1125	8415
118	1133	8390
119	1141	8369
120	1150	8359
121	1158	8336
122	1166	8319
123	1174	8297
124	1183	8281
125	1190	8260
126	1198	8236
127	1204	8207
128	1212	8186
129	1220	8164
130	1226	8138
131	1234	8119
132	1241	8093
133	1249	8072
134	1256	8051
135	1265	8037
136	1274	8030
137	1284	8022
138	1292	8005
139	1300	7989
140	1307	7964
141	1315	7947
142	1321	7922
143	1330	7910
144	1337	7886
145	1345	7870
146	1352	7849
147	1360	7829
148	1367	7811
149	1376	7799
150	1384	7785
151	1392	7766
152	1399	7748
153	1406	7728
154	1415	7714
155	1422	7693
156	1429	7675
157	1436	7655
158	1444	7637
159	1451	7619
160	1458	7601
161	1466	7587
162	1474	7569
163	1482	7556
